id	vendor	phone	address
3aa4c11f-b80e-4f54-8738-2d2eee10d710	Morris Ltd	(142)870-5475x607	"8284 Bush Village Apt. 086
South Angela, OR 36819"
107cb58b-b7f9-496d-acaa-35524d33944c	Hudson, Dunn and Flores	+1-171-768-8756	"771 Hart Lock
East Jennifer, WA 15417"
819c5930-0199-40b1-a412-7ad48ab02d76	Pope and Sons	(165)724-3046	"47899 Patrick Plaza Apt. 909
New Matthew, ND 34712"
35be7830-a37c-4e3f-aa6c-509b47399164	James-Aguirre	001-642-406-7908x1558	"3091 Frank Shoal Apt. 290
East Ann, MP 25377"
eab79f3d-2c47-46c4-afd8-2ac5ccc9d49b	Smith, Kelly and Ryan	+1-472-059-4663x6371	"853 Tyler Inlet Suite 604
Teresaberg, AL 83446"
c17c23f1-e4bd-44b0-9f14-974a7eeec181	Mcintyre LLC	430.045.1769	"999 Jenna Groves Suite 749
East Michaelmouth, TX 60902"
2a70f541-3053-4365-b79d-a4d90c04f313	Perez Ltd	6124215229	"USCGC Johnson
FPO AE 21770"
c834e089-072e-45e9-910e-a020c6cf53bb	Alexander, Robinson and Harris	001-541-220-0011x425	"9079 Emily Rue
Fishermouth, NJ 20959"
bbbe2093-4f8b-4713-aa64-ad4bf6c93a5e	Craig and Sons	+1-221-571-3896x287	"31611 Nicole Avenue Apt. 256
New Melanieburgh, KY 01244"
00680f20-d0b5-490f-a8ba-77c06438ac49	Armstrong Inc	(774)638-0796x9339	"72135 Walter Divide
South Michelle, HI 49462"
8e7f3973-2095-4d58-8769-f9f863716152	Pearson Ltd	(590)666-3730x0591	"58751 Mary Lock Apt. 461
Charlesshire, AZ 43909"
08fbb3d5-cd72-45db-9f76-775b8e7af861	Garcia PLC	917.712.2778x8415	"73861 Edward Coves
Samueltown, FM 29621"
cc4b3540-e125-4bd8-9cc5-b951c49cc8f5	Brady Inc	980-051-1292	"2375 Thomas Mountains
South Jamesstad, VT 03994"
666f39e6-307b-4016-86f8-fb2024b0847e	Edwards, Simmons and Williams	799.560.5778x610	"15649 Max Pine Suite 151
Melvinhaven, PW 89536"
8a147a40-fc14-48e3-b256-404e67b663b6	Jones, Wilson and Cooper	+1-954-130-3405	"02689 Heidi Tunnel Apt. 870
Waltersstad, OH 65417"
35124a01-66d5-47ff-9ddf-73e70a68d9fe	Jensen and Sons	(369)040-6911x2458	"735 Hart Court Suite 013
Miguelhaven, WV 17280"
228e7246-eedb-4920-afa5-0655482ebb48	Murray, Smith and Perkins	001-314-979-5568x49388	"303 Glenn Village Apt. 705
Garrettland, KS 52282"
8b7c7dd1-cc7b-4697-8a1c-cd2bb7841e2c	Brown PLC	+1-306-866-6281	"USS Clark
FPO AA 70574"
7bbd8c8c-e1f3-46cf-96d0-3bbe2e3940f2	Larson PLC	403-288-0193x125	"503 Wiggins Fort Apt. 357
East Gloriaville, NE 71235"
17bceccb-c80c-449a-931c-b6d71f6d0d52	Quinn, Hunt and Nguyen	562-549-1574x1730	"9203 Ross Valley
Miguelfort, GA 64829"
362ed30b-7066-40d5-a905-5a512c073cd7	Walls, Pollard and Rodgers	(432)018-5806x03716	"13084 Antonio Mill Suite 879
Port Elizabethtown, VT 42607"
3e5103bd-d0b5-4161-8192-59544c5b0ea6	Rodriguez PLC	+1-463-155-3993x65610	"9100 Jones Port Suite 368
North Kimberly, MD 06884"
d2799a91-97f5-4ecc-a993-ac8673c6bfb8	Jones and Sons	6574258781	"998 Goodwin Point
West Katherine, NJ 27856"
02a377c7-4d44-4517-8cf0-46f8e9fcb151	Serrano Group	(826)141-8993	"9191 Erika Fords Suite 730
East Joseph, UT 96665"
df01975e-0857-4fea-b05f-545c5709271c	Hall-Richardson	001-489-713-3279x26261	"Unit 8658 Box 8786
DPO AP 16369"
604576e2-3ae6-4762-b538-67809cddee06	Martin-Horton	709.561.8786	"97593 Thomas Pass
Kellyborough, NC 19889"
7ecddaaf-e90b-4978-b080-f7ddea3c86bc	Bell-Fleming	717.926.0778	"09243 Hamilton Union
Kristenville, DE 26965"
